y,ds
399.9618928383504872,2020-08-29
412.3902147248490700,2020-08-30
430.0175272104098964,2020-08-31
464.4740781995571616,2020-09-01
453.4470082935381619,2020-09-02
420.7112685994319004,2020-09-03
388.4358083803243506,2020-09-04
361.0158927665155801,2020-09-05
343.5682271103928526,2020-09-06
345.8764001117452310,2020-09-07
342.3607632190915779,2020-09-08
346.0538269014274492,2020-09-09
367.2935123463518617,2020-09-10
366.4595047391927994,2020-09-11
373.7672108022938217,2020-09-12
374.3389467688635518,2020-09-13
370.7245060030993107,2020-09-14
371.6122599400672287,2020-09-15
364.5568590355624142,2020-09-16
381.9387189357124955,2020-09-17
384.4682720629529475,2020-09-18
383.2977905674424525,2020-09-19
376.4599920425712919,2020-09-20
356.7981559673999505,2020-09-21
342.6707078836651961,2020-09-22
336.7152652218075303,2020-09-23
335.0425915160854948,2020-09-24
347.1538394957560712,2020-09-25
352.5459714035565988,2020-09-26
355.1303680352327501,2020-09-27
360.8438237007588153,2020-09-28
356.3198757574039599,2020-09-29
356.6921928411228279,2020-09-30
360.2377831330235047,2020-10-01
345.2226845469988630,2020-10-02
347.4823614379393487,2020-10-03
349.0266034756619654,2020-10-04
352.4563078060245164,2020-10-05
348.7537804821371941,2020-10-06
340.1252838863180497,2020-10-07
344.6641395421227394,2020-10-08
357.1404131421035023,2020-10-09
373.5450237578588829,2020-10-10
373.2116022858017489,2020-10-11
379.1358264515973231,2020-10-12
382.4199518119853646,2020-10-13
380.2964687839298911,2020-10-14
376.9261585403169029,2020-10-15
369.7715993848544343,2020-10-16
367.5390377937531913,2020-10-17
373.2794911001860819,2020-10-18
377.5649715318975463,2020-10-19
373.6176425618854491,2020-10-20
384.1799645193568808,2020-10-21
406.4174734244006132,2020-10-22
412.5953957254753124,2020-10-23
412.2539537732137635,2020-10-24
409.3640450916735548,2020-10-25
401.1708201139127652,2020-10-26
399.7007762599711274,2020-10-27
394.0290042289748595,2020-10-28
389.0618707465815549,2020-10-29
382.4600671993917254,2020-10-30
386.9071783439753170,2020-10-31
389.0165513109403659,2020-11-01
390.3672417371930392,2020-11-02
380.7841797367374980,2020-11-03
389.3363577519816879,2020-11-04
407.3352435315725812,2020-11-05
437.8017637239489953,2020-11-06
452.7798722207013991,2020-11-07
445.6427468750863513,2020-11-08
449.1750936701916453,2020-11-09
448.2803164578580038,2020-11-10
463.6696147479635245,2020-11-11
460.5384198263349667,2020-11-12
467.2040164389816400,2020-11-13
463.6462684164415828,2020-11-14
455.5069833528621361,2020-11-15
456.0521779467289158,2020-11-16
470.7484061264968853,2020-11-17
478.4125859942255761,2020-11-18
474.4697610105704113,2020-11-19
497.9535429348986121,2020-11-20
523.2386260682475588,2020-11-21
547.3515386710276253,2020-11-22
586.8488083751855391,2020-11-23
607.4912518890436612,2020-11-24
591.4673833515744034,2020-11-25
521.5279215783657639,2020-11-26
514.7563833343530901,2020-11-27
525.6609599848649825,2020-11-28
550.3702680767044279,2020-11-29
593.7932291013250637,2020-11-30
603.2507963594819695,2020-12-01
592.9468714294736943,2020-12-02
605.9031677507435668,2020-12-03
597.1664104648600578,2020-12-04
587.4307253458421501,2020-12-05
596.2429248847782144,2020-12-06
594.1773195699503767,2020-12-07
579.1628159904380133,2020-12-08
559.7578521160770820,2020-12-09
562.4738791082629327,2020-12-10
546.2579902861237146,2020-12-11
558.9406651514718739,2020-12-12
581.0307562657983675,2020-12-13
584.7416479841379068,2020-12-14
587.3757922251133643,2020-12-15
603.0088682467139158,2020-12-16
650.8482054643015230,2020-12-17
646.3313354227736482,2020-12-18
656.3486837083276442,2020-12-19
648.7000477975655895,2020-12-20
624.1608068793877638,2020-12-21
614.5140571547024740,2020-12-22
611.7843204432687502,2020-12-23
587.2913322938471016,2020-12-24
617.4144680387544108,2020-12-25
631.4030261630391798,2020-12-26
661.6649641337783280,2020-12-27
724.5012112810132138,2020-12-28
719.3893343140888479,2020-12-29
736.1222353444050442,2020-12-30
740.6838039160066401,2020-12-31
736.4531517571159521,2021-01-01
749.6070159718218891,2021-01-02
856.8975247719328883,2021-01-03
1011.3952649475412014,2021-01-04
1056.5119459058273613,2021-01-05
1137.1250479939913873,2021-01-06
1219.2797871334290052,2021-01-07
1201.3429875419767578,2021-01-08
1223.7324594444862405,2021-01-09
1299.7202841868586883,2021-01-10
1072.2587706557114341,2021-01-11
1086.0078893491362618,2021-01-12
1068.0916662669925611,2021-01-13
1169.2349403911297334,2021-01-14
1195.6178229837825212,2021-01-15
1216.4082708272546689,2021-01-16
1225.3228622096916158,2021-01-17
1227.1758501345302629,2021-01-18
1370.2972512066864374,2021-01-19
1334.6591043797327820,2021-01-20
1252.8273375199688484,2021-01-21
1194.4299905049565051,2021-01-22
1242.4633877093333069,2021-01-23
1319.1470063194661870,2021-01-24
1403.5521251366696822,2021-01-25
1326.0821004771740927,2021-01-26
1282.1208813689195151,2021-01-27
1310.2001388568037373,2021-01-28
1360.8080001477001772,2021-01-29
1360.1304647970255558,2021-01-30
1338.0887540948377644,2021-01-31
1322.9031610321267821,2021-02-01
1439.7235505712847702,2021-02-02
1572.6703072980805182,2021-02-03
1643.6631665668785867,2021-02-04
1674.9922330740066497,2021-02-05
1690.6305684086740018,2021-02-06
1608.7547129018503987,2021-02-07
1664.4970448144292522,2021-02-08
1752.5223619976247321,2021-02-09
1767.1414508587255931,2021-02-10
1764.3808017542920751,2021-02-11
1794.8044451993549957,2021-02-12
1822.9932987562109558,2021-02-13
1823.6194089737477407,2021-02-14
1780.5958056356758200,2021-02-15
1782.7315967771560528,2021-02-16
1802.9962439519308769,2021-02-17
1909.5864713021960605,2021-02-18
1935.3631425983215697,2021-02-19
1990.6990741521956474,2021-02-20
1944.6410228075592592,2021-02-21
1812.8860502136128850,2021-02-22
1571.1947215106078191,2021-02-23
1633.6016980102088594,2021-02-24
1606.9342926715397243,2021-02-25
1481.8036589744137835,2021-02-26
1486.8540434260036014,2021-02-27
1381.9995254170913539,2021-02-28
1496.3819135648015341,2021-03-01
1541.0309302640806896,2021-03-02
1580.2115391001216780,2021-03-03
1561.5600348112488851,2021-03-04
1492.7263802064995305,2021-03-05
1576.9043359944192715,2021-03-06
1665.5798644416960385,2021-03-07
1735.7014565376268657,2021-03-08
1831.2350705063065843,2021-03-09
1823.5598566231290914,2021-03-10
1792.6221827230079687,2021-03-11
1781.8741498304986898,2021-03-12
1839.1175687597801036,2021-03-13
1882.7968225501242417,2021-03-14
1809.2300987434433665,2021-03-15
1781.4763195165540805,2021-03-16
1786.8952865810863455,2021-03-17
1809.5920610609927554,2021-03-18
1804.4727139230787278,2021-03-19
1834.8476554466737532,2021-03-20
1786.1988527816023254,2021-03-21
1766.2762143905240544,2021-03-22
1692.5835849142834531,2021-03-23
1680.9564026065815527,2021-03-24
1594.7018757216610730,2021-03-25
1640.7847210796931225,2021-03-26
1698.9754989144583323,2021-03-27
1701.9636787459385228,2021-03-28
1757.3031459636499641,2021-03-29
1827.3615860182104415,2021-03-30
1851.5020131333144197,2021-03-31
1941.0722691846918720,2021-04-01
2027.6856623048044898,2021-04-02
2088.6305981120733308,2021-04-03
2048.9160093581302035,2021-04-04
2068.8632801909113680,2021-04-05
2113.5240230687817224,2021-04-06
2032.1394325557042107,2021-04-07
2028.9855787197117250,2021-04-08
2076.3584955153078356,2021-04-09
2139.1144074038400507,2021-04-10
2139.6751852049727607,2021-04-11
2147.3140390857255451,2021-04-12
2224.5500964266730283,2021-04-13
2355.9232496463122134,2021-04-14
2459.6371479170047938,2021-04-15
2432.7107246844528568,2021-04-16
2420.3749424733218563,2021-04-17
2178.9924169887992849,2021-04-18
2211.7577400612812054,2021-04-19
2189.4222209650598466,2021-04-20
2348.8770950487304064,2021-04-21
2484.5911905658835017,2021-04-22
2280.6980063569496648,2021-04-23
2267.7275175230850893,2021-04-24
2266.2177673027672878,2021-04-25
2478.5592864823473387,2021-04-26
2580.2818819378561942,2021-04-27
2681.7844227521008019,2021-04-28
2746.0032877314805932,2021-04-29
2763.0892787804795349,2021-04-30
2871.6469779620808984,2021-05-01
2934.0604970964887789,2021-05-02
3173.3026871468377057,2021-05-03
3356.6443804524759555,2021-05-04
3369.7472289132883159,2021-05-05
3493.4951495228693134,2021-05-06
3483.4176585201349977,2021-05-07
3656.2303823956943896,2021-05-08
3897.7437252089416379,2021-05-09
4065.2802845505755491,2021-05-10
